"","name","id","name_type","class","mass","fall","year","lat","long","geolocation","housenumber","street","city","state","zip","country"
"1","Aachen",1,"Valid","L5",21,"Fell",1880,50.775,6.08333,"(50.775, 6.08333)","House Number Not Found","Street Not Found","Aachen","North Rhine-Westphalia","52062","Germany"
"2","Aarhus",2,"Valid","H6",720,"Fell",1951,56.18333,10.23333,"(56.18333, 10.23333)","House Number Not Found","Street Not Found","Aarhus","Central Denmark Region","8240","Denmark"
"3","Abee",6,"Valid","EH4",107000,"Fell",1952,54.21667,-113,"(54.21667, -113.0)","House Number Not Found","Street Not Found","Abee","Alberta","Postcode Not Found","Canada"
"4","Acapulco",10,"Valid","Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"(16.88333, -99.9)","House Number Not Found","Street Not Found","Acapulco","Guerrero","39300","Mexico"
"5","Achiras",370,"Valid","L6",780,"Fell",1902,-33.16667,-64.95,"(-33.16667, -64.95)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"6","Adhi Kot",379,"Valid","EH4",4239,"Fell",1919,32.1,71.8,"(32.1, 71.8)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Pakistan"
"7","Adzhi-Bogdo (stone)",390,"Valid","LL3-6",910,"Fell",1949,44.83333,95.16667,"(44.83333, 95.16667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"8","Agen",392,"Valid","H5",30000,"Fell",1814,44.21667,0.61667,"(44.21667, 0.61667)","House Number Not Found","Street Not Found","Agen","New Aquitaine","47000","France"
"9","Aguada",398,"Valid","L6",1620,"Fell",1930,-31.6,-65.23333,"(-31.6, -65.23333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"10","Aguila Blanca",417,"Valid","L",1440,"Fell",1920,-30.86667,-64.55,"(-30.86667, -64.55)","House Number Not Found","Street Not Found","Capilla del Monte","Córdoba","X5166","Argentina"
"11","Aioun el Atrouss",423,"Valid","Diogenite-pm",1000,"Fell",1974,16.39806,-9.57028,"(16.39806, -9.57028)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"12","Aïr",424,"Valid","L6",24000,"Fell",1925,19.08333,8.38333,"(19.08333, 8.38333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"13","Aire-sur-la-Lys",425,"Valid","Unknown",NA,"Fell",1769,50.66667,2.33333,"(50.66667, 2.33333)","House Number Not Found","Street Not Found","Roquetoire","Nord-Pas-de-Calais and Picardy","62120","France"
"14","Akaba",426,"Valid","L6",779,"Fell",1949,29.51667,35.05,"(29.51667, 35.05)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"15","Akbarpur",427,"Valid","H4",1800,"Fell",1838,29.71667,77.95,"(29.71667, 77.95)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"16","Akwanga",432,"Valid","H",3000,"Fell",1959,8.91667,8.43333,"(8.91667, 8.43333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"17","Akyumak",433,"Valid","Iron, IVA",50000,"Fell",1981,39.91667,42.81667,"(39.91667, 42.81667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"18","Al Rais",446,"Valid","CR2-an",160,"Fell",1957,24.41667,39.51667,"(24.41667, 39.51667)","House Number Not Found","Prince Naif Bin Abdul Aziz Road","Abyar Ali","Al Madinah Region","41475","Saudi Arabia"
"19","Al Zarnkh",447,"Valid","LL5",700,"Fell",2001,13.66033,28.96,"(13.66033, 28.96)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"20","Alais",448,"Valid","CI1",6000,"Fell",1806,44.11667,4.08333,"(44.11667, 4.08333)","House Number Not Found","Street Not Found","Alès","Occitania","30100","France"
"21","Albareto",453,"Valid","L/LL4",2000,"Fell",1766,44.65,11.01667,"(44.65, 11.01667)","House Number Not Found","Street Not Found","Castelfranco Emilia","Emilia-Romagna","41015","Italy"
"22","Alberta",454,"Valid","L",625,"Fell",1949,2,22.66667,"(2.0, 22.66667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"23","Alby sur Chéran",458,"Valid","Eucrite-mmict",252,"Fell",2002,45.82133,6.01533,"(45.82133, 6.01533)","House Number Not Found","Street Not Found","Alby-sur-Chéran","Auvergne-Rhône-Alpes","74540","France"
"24","Aldsworth",461,"Valid","LL5",700,"Fell",1835,51.78333,-1.78333,"(51.78333, -1.78333)","House Number Not Found","Eastington Road","Cotswold","England","GL54 3QZ","United Kingdom"
"25","Aleppo",462,"Valid","L6",3200,"Fell",1873,36.23333,37.13333,"(36.23333, 37.13333)","House Number Not Found","Street Not Found","Aleppo","Aleppo","15310","Syria"
"26","Alessandria",463,"Valid","H5",908,"Fell",1860,44.88333,8.75,"(44.88333, 8.75)","House Number Not Found","Street Not Found","Tortona","Piemont","15047","Italy"
"27","Alexandrovsky",465,"Valid","H4",9251,"Fell",1900,50.95,31.81667,"(50.95, 31.81667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"28","Alfianello",466,"Valid","L6",228000,"Fell",1883,45.26667,10.15,"(45.26667, 10.15)","House Number Not Found","Street Not Found","City Not Found","Lombardy","Postcode Not Found","Italy"
"29","Allegan",2276,"Valid","H5",32000,"Fell",1899,42.53333,-85.88333,"(42.53333, -85.88333)","House Number Not Found","Street Not Found","Millgrove","Michigan","49010","United States of America"
"30","Allende",2278,"Valid","CV3",2e+06,"Fell",1969,26.96667,-105.31667,"(26.96667, -105.31667)","House Number Not Found","Street Not Found","Pueblito de Allende","Chihuahua","33920","Mexico"
"31","Almahata Sitta",48915,"Valid","Ureilite-an",3950,"Fell",2008,20.74575,32.41275,"(20.74575, 32.41275)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"32","Alta'ameem",2284,"Valid","LL5",6000,"Fell",1977,35.27333,44.21556,"(35.27333, 44.21556)","House Number Not Found","Street Not Found","City Not Found","Kirkuk","Postcode Not Found","Iraq"
"33","Ambapur Nagla",2290,"Valid","H5",6400,"Fell",1895,27.66667,78.25,"(27.66667, 78.25)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"34","Andhara",2294,"Valid","Stone-uncl",2700,"Fell",1880,26.58333,85.56667,"(26.58333, 85.56667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"35","Andover",2295,"Valid","L6",3200,"Fell",1898,44.61667,-70.75,"(44.61667, -70.75)","House Number Not Found","Street Not Found","Andover","Maine","04216","United States of America"
"36","Andreevka",2296,"Valid","L3",600,"Fell",1969,48.7,37.5,"(48.7, 37.5)","House Number Not Found","Street Not Found","Kramatorsk","Donetsk Oblast","84300-84390","Ukraine"
"37","Andura",2298,"Valid","H6",17900,"Fell",1939,20.88333,76.86667,"(20.88333, 76.86667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"38","Angers",2301,"Valid","L6",NA,"Fell",1822,47.46667,-0.55,"(47.46667, -0.55)","House Number Not Found","Street Not Found","Angers","Pays de la Loire","4900","France"
"39","Angra dos Reis (stone)",2302,"Valid","Angrite",1500,"Fell",1869,-22.96667,-44.31667,"(-22.96667, -44.31667)","House Number Not Found","Street Not Found","Angra dos Reis","Rio de Janeiro","23934-200","Brazil"
"40","Ankober",2304,"Valid","H4",6500,"Fell",1942,9.53333,39.71667,"(9.53333, 39.71667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"41","Anlong",2305,"Valid","H5",2500,"Fell",1971,25.15,105.18333,"(25.15, 105.18333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"42","Aomori",2313,"Valid","L6",320,"Fell",1984,40.81056,140.78556,"(40.81056, 140.78556)","House Number Not Found","National Route 7 Bypass","Aomori","Aomori Prefecture","0300943","Japan"
"43","Appley Bridge",2318,"Valid","LL6",15000,"Fell",1914,53.58333,-2.71667,"(53.58333, -2.71667)","House Number Not Found","Street Not Found","West Lancashire","England","WN6 9AJ","United Kingdom"
"44","Apt",2320,"Valid","L6",3200,"Fell",1803,43.86667,5.38333,"(43.86667, 5.38333)","House Number Not Found","Street Not Found","Apt","Provence-Alpes-Côte d'Azur","84400","France"
"45","Arbol Solo",2325,"Valid","H5",810,"Fell",1954,-33,-66,"(-33.0, -66.0)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"46","Archie",2329,"Valid","H6",5070,"Fell",1932,38.5,-94.3,"(38.5, -94.3)","House Number Not Found","Street Not Found","Austin","Missouri","64725","United States of America"
"47","Arroyo Aguiar",2340,"Valid","H5",7450,"Fell",1950,-31.41667,-60.66667,"(-31.41667, -60.66667)","House Number Not Found","Street Not Found","Villa Laura","Santa Fe","Postcode Not Found","Argentina"
"48","Asco",2345,"Valid","H6",41,"Fell",1805,42.45,9.03333,"(42.45, 9.03333)","House Number Not Found","Street Not Found","Asco","Corsica","20276","France"
"49","Ash Creek",48954,"Valid","L6",9500,"Fell",2009,31.805,-97.01,"(31.805, -97.01)","House Number Not Found","Street Not Found","Cottonwood","Texas","Postcode Not Found","United States of America"
"50","Ashdon",2346,"Valid","L6",1300,"Fell",1923,52.05,0.3,"(52.05, 0.3)","House Number Not Found","Walden Road","Uttlesford","England","CB10 2HQ","United Kingdom"
"51","Assisi",2353,"Valid","H5",2000,"Fell",1886,43.03333,12.55,"(43.03333, 12.55)","House Number Not Found","Street Not Found","Assisi","Umbria","06081","Italy"
"52","Atarra",4883,"Valid","L4",1280,"Fell",1920,25.25417,80.625,"(25.25417, 80.625)","House Number Not Found","Street Not Found","Badausa","Uttar Pradesh","210202","India"
"53","Atemajac",4884,"Valid","L6",94.2,"Fell",1896,20.06667,-103.66667,"(20.06667, -103.66667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"54","Athens",4885,"Valid","LL6",265,"Fell",1933,34.75,-87,"(34.75, -87.0)","House Number Not Found","Street Not Found","Athens","Alabama","35611","United States of America"
"55","Atoka",4888,"Valid","L6",1384.2,"Fell",1945,34.31667,-96.15,"(34.31667, -96.15)","House Number Not Found","Street Not Found","Tushka","Oklahoma","74525","United States of America"
"56","Aubres",4893,"Valid","Aubrite",800,"Fell",1836,44.38333,5.16667,"(44.38333, 5.16667)","House Number Not Found","Street Not Found","Les Pilles","Auvergne-Rhône-Alpes","26110","France"
"57","Aumale",4899,"Valid","L6",50000,"Fell",1865,36.16667,3.66667,"(36.16667, 3.66667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"58","Aumieres",4900,"Valid","L6",2000,"Fell",1842,44.33333,3.23333,"(44.33333, 3.23333)","House Number Not Found","Street Not Found","Massegros Causses Gorges","Occitania","48500","France"
"59","Ausson",4903,"Valid","L5",50000,"Fell",1858,43.08333,0.58333,"(43.08333, 0.58333)","House Number Not Found","Street Not Found","Montréjeau","Occitania","31210","France"
"60","Avanhandava",4905,"Valid","H4",9330,"Fell",1952,-21.46028,-49.95083,"(-21.46028, -49.95083)","House Number Not Found","Street Not Found","Avanhandava","São Paulo","Postcode Not Found","Brazil"
"61","Avce",4906,"Valid","Iron, IIAB",1230,"Fell",1908,46,13.5,"(46.0, 13.5)","45","Stroga","Brda","State Not Found","5121","Slovenia"
"62","Avilez",4907,"Valid","H",146,"Fell",1855,25,-103.5,"(25.0, -103.5)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"63","Awere",4910,"Valid","L4",134,"Fell",1968,2.71667,32.83333,"(2.71667, 32.83333)","House Number Not Found","Street Not Found","City Not Found","Pader","Postcode Not Found","Uganda"
"64","Aztec",4913,"Valid","L6",2830,"Fell",1938,36.8,-108,"(36.8, -108.0)","2000","Pepsi Way","Aztec","New Mexico","87410","United States of America"
"65","Bachmut",4917,"Valid","L6",18000,"Fell",1814,48.6,38,"(48.6, 38.0)","House Number Not Found","Street Not Found","City Not Found","Donetsk Oblast","84500-84510","Ukraine"
"66","Bahjoi",4922,"Valid","Iron, IAB-sLL",10322,"Fell",1934,28.48333,78.5,"(28.48333, 78.5)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"67","Bald Mountain",4925,"Valid","L4",3700,"Fell",1929,35.96667,-82.48333,"(35.96667, -82.48333)","House Number Not Found","Street Not Found","Bald Mountain","North Carolina","Postcode Not Found","United States of America"
"68","Baldwyn",4926,"Valid","L6",345,"Fell",1922,34.5,-88.66667,"(34.5, -88.66667)","House Number Not Found","Street Not Found","City Not Found","Mississippi","38824","United States of America"
"69","Bali",4928,"Valid","CV3",1000,"Fell",1907,5.38333,16.38333,"(5.38333, 16.38333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"70","Ban Rong Du",4934,"Valid","Iron, ungrouped",16700,"Fell",1993,16.66667,101.18333,"(16.66667, 101.18333)","House Number Not Found","Street Not Found","Ban Rong Kok","Phetchabun Province","Postcode Not Found","Thailand"
"71","Bandong",4935,"Valid","LL6",11500,"Fell",1871,-6.91667,107.6,"(-6.91667, 107.6)","House Number Not Found","Jalan Industri Dalam","Arjuna","West Java","40172","Indonesia"
"72","Bansur",4936,"Valid","L6",15000,"Fell",1892,27.7,76.33333,"(27.7, 76.33333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"73","Banswal",4937,"Valid","L5",14,"Fell",1913,30.4,78.2,"(30.4, 78.2)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"74","Banten",4938,"Valid","CM2",629,"Fell",1933,-6.33333,106,"(-6.33333, 106.0)","House Number Not Found","Street Not Found","City Not Found","Banten","Postcode Not Found","Indonesia"
"75","Barbotan",4942,"Valid","H5",6400,"Fell",1790,43.95,-0.05,"(43.95, -0.05)","House Number Not Found","Street Not Found","Cazaubon","Occitania","32150","France"
"76","Barcelona (stone)",4944,"Valid","OC",NA,"Fell",1704,41.36667,2.16667,"(41.36667, 2.16667)","House Number Not Found","Street Not Found","Barcelona","Catalonia","08001","Spain"
"77","Barea",4946,"Valid","Mesosiderite-A1",3200,"Fell",1842,42.38333,-2.5,"(42.38333, -2.5)","House Number Not Found","Street Not Found","Entrena","Rioja","26120","Spain"
"78","Barnaul",4947,"Valid","H5",23.2,"Fell",1904,52.73333,84.08333,"(52.73333, 84.08333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"79","Barntrup",4948,"Valid","LL4",17,"Fell",1886,52,9.1,"(52.0, 9.1)","51","Freiligrathstraße","Barntrup","North Rhine-Westphalia","32683","Germany"
"80","Baroti",4949,"Valid","L6",4500,"Fell",1910,31.61667,76.8,"(31.61667, 76.8)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"81","Barwell",4954,"Valid","L5",44000,"Fell",1965,52.56528,-1.33972,"(52.56528, -1.33972)","House Number Not Found","Street Not Found","Hinckley and Bosworth","England","LE9 7HY","United Kingdom"
"82","Bassikounou",44876,"Valid","H5",29560,"Fell",2006,15.78333,-5.9,"(15.78333, -5.9)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"83","Baszkówka",4957,"Valid","L5",15500,"Fell",1994,52.03333,20.93583,"(52.03333, 20.93583)","House Number Not Found","Street Not Found","Glosków","Masovian Voivodeship","05-503","Poland"
"84","Bath",4974,"Valid","H4",21000,"Fell",1892,45.41667,-98.31667,"(45.41667, -98.31667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"85","Bath Furnace",4975,"Valid","L6",86000,"Fell",1902,38.25,-83.75,"(38.25, -83.75)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"86","Battle Mountain",56133,"Valid","L6",2900,"Fell",2012,40.66813,-117.18913,"(40.66813, -117.18913)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"87","Bawku",4976,"Valid","LL5",1557,"Fell",1989,11.08333,-0.18333,"(11.08333, -0.18333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"88","Baxter",4977,"Valid","L6",611,"Fell",1916,36.75,-93.5,"(36.75, -93.5)","House Number Not Found","Street Not Found","Cape Fair","Missouri","65624","United States of America"
"89","Beardsley",4984,"Valid","H5",16000,"Fell",1929,39.8,-101.2,"(39.8, -101.2)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"90","Beaver Creek",4986,"Valid","H5",14000,"Fell",1893,51.16667,-117.33333,"(51.16667, -117.33333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"91","Beddgelert",4993,"Valid","H5",794,"Fell",1949,53.01667,-4.1,"(53.01667, -4.1)","House Number Not Found","Street Not Found","Beddgelert","Wales","LL55 4UY","United Kingdom"
"92","Bells",5005,"Valid","C2-ung",375,"Fell",1961,33.6,-96.46667,"(33.6, -96.46667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"93","Belville",5009,"Valid","OC",NA,"Fell",1937,-32.33333,-64.86667,"(-32.33333, -64.86667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"94","Benares (a)",5011,"Valid","LL4",3700,"Fell",1798,25.36667,82.91667,"(25.36667, 82.91667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"95","Benguerir",30443,"Valid","LL6",25000,"Fell",2004,32.25,-8.15,"(32.25, -8.15)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"96","Beni M'hira",5018,"Valid","L6",19000,"Fell",2001,32.86667,10.8,"(32.86667, 10.8)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"97","Benld",5021,"Valid","H6",1770.5,"Fell",1938,39.08333,-89.15,"(39.08333, -89.15)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"98","Benoni",5023,"Valid","H6",3880,"Fell",1943,-26.16667,28.41667,"(-26.16667, 28.41667)","House Number Not Found","Heald Street","Daveyton","Gauteng","1520","South Africa"
"99","Bensour",5024,"Valid","LL6",45000,"Fell",2002,30,-7,"(30.0, -7.0)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"100","Benton",5026,"Valid","LL6",2840,"Fell",1949,45.95,-67.55,"(45.95, -67.55)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"101","Berduc",48975,"Valid","L6",270,"Fell",2008,-31.91,-58.32833,"(-31.91, -58.32833)","House Number Not Found","Street Not Found","City Not Found","Entre Ríos","Postcode Not Found","Argentina"
"102","Béréba",5028,"Valid","Eucrite-mmict",18000,"Fell",1924,11.65,-3.65,"(11.65, -3.65)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"103","Berlanguillas",5029,"Valid","L6",1440,"Fell",1811,41.68333,-3.8,"(41.68333, -3.8)","House Number Not Found","Street Not Found","Gumiel de Mercado","Castile and León","09443","Spain"
"104","Berthoud",47355,"Valid","Eucrite-mmict",960,"Fell",2004,40.30583,-105.02325,"(40.30583, -105.02325)","House Number Not Found","Street Not Found","Berthoud","Colorado","Postcode Not Found","United States of America"
"105","Bethlehem",5032,"Valid","H",13.9,"Fell",1859,42.53333,-73.83333,"(42.53333, -73.83333)","House Number Not Found","Street Not Found","Bethlehem Heights","New York","12158","United States of America"
"106","Beuste",5034,"Valid","L5",2000,"Fell",1859,43.21667,-0.23333,"(43.21667, -0.23333)","House Number Not Found","Street Not Found","Beuste","New Aquitaine","64800","France"
"107","Beyrout",5035,"Valid","LL3.8",1100,"Fell",1921,33.88333,35.5,"(33.88333, 35.5)","House Number Not Found","Street Not Found","Park","State Not Found","2052 6703","Lebanon"
"108","Bhagur",5037,"Valid","L6",18,"Fell",1877,20.88333,74.83333,"(20.88333, 74.83333)","House Number Not Found","Street Not Found","Fagne","Maharashtra","424004","India"
"109","Bhawad",36591,"Valid","LL6",678,"Fell",2002,26.50833,73.11528,"(26.50833, 73.11528)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"110","Bherai",5039,"Valid","L6",100,"Fell",1893,20.83333,71.46667,"(20.83333, 71.46667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"111","Bhola",5040,"Valid","LL3-6",1047,"Fell",1940,22.68333,90.65,"(22.68333, 90.65)","House Number Not Found","Gazipur Road","Bhola","Barisal Division","Postcode Not Found","Bangladesh"
"112","Bholghati",5041,"Valid","Howardite",2500,"Fell",1905,22.08333,86.9,"(22.08333, 86.9)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"113","Bialystok",5042,"Valid","Eucrite-pmict",4000,"Fell",1827,53.1,23.2,"(53.1, 23.2)","26H","Dojlidy Fabryczne","Bialystok","Podlaskie Voivodeship","15-565","Poland"
"114","Bielokrynitschie",5043,"Valid","H4",1900,"Fell",1887,50.13333,27.16667,"(50.13333, 27.16667)","House Number Not Found","Street Not Found","City Not Found","Khmelnytskyi Oblast","30430","Ukraine"
"115","Bilanga",5045,"Valid","Diogenite",25000,"Fell",1999,12.45,-0.08333,"(12.45, -0.08333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"116","Binningup",5051,"Valid","H5",488.1,"Fell",1984,-33.15639,115.67639,"(-33.15639, 115.67639)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"117","Birni N'konni",5056,"Valid","H4",560,"Fell",1923,13.76667,5.3,"(13.76667, 5.3)","House Number Not Found","Street Not Found","City Not Found","Sokoto","Postcode Not Found","Nigeria"
"118","Bishopville",5059,"Valid","Aubrite",6000,"Fell",1843,34.16667,-80.28333,"(34.16667, -80.28333)","House Number Not Found","Street Not Found","Spur","South Carolina","29010","United States of America"
"119","Bishunpur",5060,"Valid","LL3.15",1039,"Fell",1895,25.38333,82.6,"(25.38333, 82.6)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"120","Bjelaja Zerkov",5063,"Valid","H6",1850,"Fell",1796,49.78333,30.16667,"(49.78333, 30.16667)","34","Molodizhna Street","Bila Tserkva","Kyiv Oblast","09100-09117","Ukraine"
"121","Bjurböle",5064,"Valid","L/LL4",330000,"Fell",1899,60.4,25.8,"(60.4, 25.8)","52","Punasuontie","Porvoo","Southern Finland","Postcode Not Found","Finland"
"122","Black Moshannan Park",5065,"Valid","L5",705,"Fell",1941,40.91667,-78.08333,"(40.91667, -78.08333)","House Number Not Found","Street Not Found","Rush township","Pennsylvania","16677","United States of America"
"123","Blackwell",5068,"Valid","L5",2381,"Fell",1906,36.83333,-97.33333,"(36.83333, -97.33333)","House Number Not Found","Street Not Found","City Not Found","Oklahoma","Postcode Not Found","United States of America"
"124","Blanket",5071,"Valid","L6",5100,"Fell",1909,31.83333,-98.83333,"(31.83333, -98.83333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"125","Blansko",5072,"Valid","H6",470,"Fell",1833,49.36667,16.63333,"(49.36667, 16.63333)","House Number Not Found","Seifertova","Blansko","Southeast","67801","Czech Republic"
"126","Bloomington",5076,"Valid","LL6",67.8,"Fell",1938,40.48,-89.00417,"(40.48, -89.00417)","House Number Not Found","Street Not Found","Bloomington","Illinois","61701","United States of America"
"127","Bo Xian",5090,"Valid","LL3.9",7500,"Fell",1977,33.83333,115.83333,"(33.83333, 115.83333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"128","Bocas",5093,"Valid","L6",56,"Fell",1804,23,-102,"(23.0, -102.0)","House Number Not Found","Street Not Found","City Not Found","San Luis Potosi","Postcode Not Found","Mexico"
"129","Bogou",5097,"Valid","Iron, IAB-MG",8800,"Fell",1962,12.5,0.7,"(12.5, 0.7)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"130","Boguslavka",5098,"Valid","Iron, IIAB",256000,"Fell",1916,44.55,131.63333,"(44.55, 131.63333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"131","Borgo San Donino",5110,"Valid","LL6",1676,"Fell",1808,44.86667,10.05,"(44.86667, 10.05)","House Number Not Found","Street Not Found","Fidenza","Emilia-Romagna","43036","Italy"
"132","Bori",5111,"Valid","L6",8600,"Fell",1894,21.95,78.03333,"(21.95, 78.03333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"133","Boriskino",5112,"Valid","CM2",1342,"Fell",1930,54.23333,52.48333,"(54.23333, 52.48333)","House Number Not Found","Street Not Found","<U+0421><U+0442><U+0430><U+0440><U+043E><U+0431><U+043E><U+0440><U+0438><U+0441><U+043A><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043E><U+0432><U+0435><U+0442>","Orenburg Oblast","Postcode Not Found","Russia"
"134","Borkut",5113,"Valid","L5",7000,"Fell",1852,48.15,24.28333,"(48.15, 24.28333)","House Number Not Found","Street Not Found","Kvasy","Zakarpattia Oblast","90640","Ukraine"
"135","Borodino",5114,"Valid","H5",500,"Fell",1812,55.46667,35.86667,"(55.46667, 35.86667)","House Number Not Found","<U+041C><U+0438><U+043D><U+0441><U+043A><U+043E><U+0435> <U+0448><U+043E><U+0441><U+0441><U+0435>","<U+0411><U+043E><U+043B><U+043E><U+0442><U+043E> <U+0421><U+0442><U+0430><U+0440><U+043E><U+0435>","Moscow Oblast","143231","Russia"
"136","Botschetschki",5117,"Valid","L4",614,"Fell",1823,51.33333,33.88333,"(51.33333, 33.88333)","16","<U+0406><U+043E><U+0430><U+043D><U+043D><U+0430> <U+041F><U+0443><U+0442><U+0438><U+0432><U+043B><U+044C><U+0441><U+044C><U+043A><U+043E><U+0433><U+043E> <U+043F><U+0440><U+043E><U+0441><U+043F><U+0435><U+043A><U+0442>","Putyvl","Sumy Oblast","41500","Ukraine"
"137","Boumdeid (2003)",57168,"Valid","L6",190,"Fell",2003,17.71067,-11.3715,"(17.71067, -11.3715)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"138","Boumdeid (2011)",57167,"Valid","L6",3599,"Fell",2011,17.17493,-11.34133,"(17.17493, -11.34133)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"139","Bovedy",5121,"Valid","L3",5460,"Fell",1969,54.56667,-6.33333,"(54.56667, -6.33333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"140","Bradford Woods",5128,"Valid","L",762,"Fell",1886,40.5,-80.08333,"(40.5, -80.08333)","House Number Not Found","Florence Avenue","Avalon","Pennsylvania","15202","United States of America"
"141","Braunau",5133,"Valid","Iron, IIAB",39000,"Fell",1847,50.6,16.3,"(50.6, 16.3)","117","Street Not Found","Hejtmánkovice","Northeast","55001","Czech Republic"
