"","name","id","name_type","class","mass","fall","year","lat","long","geolocation","housenumber","street","city","state","zip","country"
"994","Toulouse",24036,"Valid","H6",1030,"Fell",1812,43.6,1.4,"(43.6, 1.4)","House Number Not Found","Street Not Found","Toulouse","Occitania","31300","France"
"995","Tounkin",24037,"Valid","OC",2000,"Fell",1824,51.73333,102.53333,"(51.73333, 102.53333)","House Number Not Found","Street Not Found","Tunka","Buryatia","671020","Russia"
"996","Tourinnes-la-Grosse",24038,"Valid","L6",14500,"Fell",1863,50.78333,4.76667,"(50.78333, 4.76667)","House Number Not Found","Street Not Found","Beauvechain","Wallonia","1320","Belgium"
"997","Trebbin",24042,"Valid","LL6",1250,"Fell",1988,52.21667,13.16667,"(52.21667, 13.16667)","House Number Not Found","Street Not Found","Trebbin","Brandenburg","14959","Germany"
"998","Trenzano",24046,"Valid","H3/4",11800,"Fell",1856,45.46667,10,"(45.46667, 10.0)","House Number Not Found","Street Not Found","Trenzano","Lombardy","Postcode Not Found","Italy"
"999","Treysa",24050,"Valid","Iron, IIIAB-an",63000,"Fell",1916,50.91667,9.18333,"(50.91667, 9.18333)","3","Am Alten Feld","Schwalmstadt","Hesse","34613","Germany"
"1000","Tromøy",24053,"Valid","H",357.4,"Fell",1950,58.47333,8.86667,"(58.47333, 8.86667)","46","Alveveien","Lofstad","East Agder","4812","Norway"
"1001","Troup",24054,"Valid","L6",1020,"Fell",1917,32.16667,-95.1,"(32.16667, -95.1)","House Number Not Found","Street Not Found","Sinclair City","Texas","75789","United States of America"
"1002","Trysil",24057,"Valid","L/LL6",640,"Fell",1927,61.3,12.3,"(61.3, 12.3)","19","Steggfallet","Trysil","Hedmark","2420","Norway"
"1003","Tsukuba",24059,"Valid","H5-6",800,"Fell",1996,36.06333,140.145,"(36.06333, 140.145)","House Number Not Found","<U+4E26><U+6728><U+5927><U+6A4B> (Namiki Ohashi)","Tsukuba","Ibaraki Prefecture","305-0045","Japan"
"1004","Tuan Tuc",24060,"Valid","L6",13100,"Fell",1921,9.66667,105.66667,"(9.66667, 105.66667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1005","Tugalin-Bulen",24062,"Valid","H6",10000,"Fell",1967,45.46667,105.38333,"(45.46667, 105.38333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1006","Tulung Dzong",24071,"Valid","Stone-uncl",NA,"Fell",1944,30,90.75,"(30.0, 90.75)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1007","Turtle Lake",47343,"Valid","L5",89.3,"Fell",1996,45.34583,-92.05167,"(45.34583, -92.05167)","House Number Not Found","Street Not Found","City Not Found","Wisconsin","54733","United States of America"
"1008","Tuxtuac",24086,"Valid","LL5",30000,"Fell",1975,21.66667,-103.36667,"(21.66667, -103.36667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1009","Tysnes Island",24094,"Valid","H4",19860,"Fell",1884,60,5.61667,"(60.0, 5.61667)","3","Solheimsdalen","Onarheim","Hordaland","5694","Norway"
"1010","Tyumen",24095,"Valid","Iron",750,"Fell",1903,57.16667,65.53333,"(57.16667, 65.53333)","15","<U+0411><U+0430><U+0440><U+0440><U+0438><U+043A><U+0430><U+0434><U+043D><U+0430><U+044F> <U+0443><U+043B><U+0438><U+0446><U+0430>","Tyumen","Tyumen Oblast","625000","Russia"
"1011","Uberaba",24096,"Valid","H5",40000,"Fell",1903,-19.81667,-48.78333,"(-19.81667, -48.78333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1012","Ucera",24097,"Valid","H5",4590,"Fell",1970,11.05,-69.85,"(11.05, -69.85)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1013","Uchkuduk",24098,"Valid","L6",1000,"Fell",1989,41.76667,62.51667,"(41.76667, 62.51667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1014","Udei Station",24101,"Valid","Iron, IAB-ung",103000,"Fell",1927,7.95,8.08333,"(7.95, 8.08333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1015","Uden",24103,"Valid","LL7",710,"Fell",1840,51.65,5.61667,"(51.65, 5.61667)","70","Kastanjeweg","Uden","North Brabant","5401JP","The Netherlands"
"1016","Udipi",24104,"Valid","H5",3600,"Fell",1866,13.48333,74.78333,"(13.48333, 74.78333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
